id,name,brand,type,note,link
IMG_20220912_0029_0_2,opera orange,paul rubens,tube watercolor,,
IMG_20220912_0029_1_0,peach haze,diamine,ink,,
IMG_20220912_0029_1_1,ft orange,unknown,tube watercolor,,
IMG_20220912_0029_1_2,opera orange red,paul rubens,tube watercolor,,
IMG_20220912_0029_2_0,coral,diamine,ink,,
IMG_20220912_0029_2_1,o2,handmade,pan watercolor,,
IMG_20220912_0029_2_2,apollo orange,Laban Greek Mythology,ink,,
IMG_20220912_0030_0_0,noodler firefly,noodler's ink,ink,,
IMG_20220912_0030_0_1,bismuth vanadate yellow,daniel smith,tube watercolor,,
IMG_20220912_0030_0_2,lime green,daniel smith,tube watercolor,,
IMG_20220912_0030_1_0,opera yellow,paul rubens,tube watercolor,,
IMG_20220912_0030_1_1,lemon yellow pr127,paul rubens,tube watercolor,,
IMG_20220912_0030_1_2,spun gold,spectrum noir,ink,discontinued,
IMG_20220912_0030_2_0,hansa yellow light,daniel smith,tube watercolor,,
IMG_20220912_0030_2_1,lemon yellow a102,arteza,tube gouache,,
IMG_20220912_0030_2_2,louise,diamine,ink,,
IMG_20220912_0031_0_0,y0,handmade,pan watercolor,,
IMG_20220912_0031_0_1,gold star,diamine,ink,,
IMG_20220912_0031_0_2,apricot,diamine,ink,,
IMG_20220912_0031_1_0,chrome yellow pr126,paul rubens,tube watercolor,,
IMG_20220912_0031_1_1,sunflower,Rohrer & Klingner Fountain Pen Ink,ink,,
IMG_20220912_0031_1_2,new gamboge,daniel smith,tube watercolor,,
IMG_20220912_0031_2_0,jaune de curcuma,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0031_2_1,amber,diamine,ink,,
IMG_20220912_0031_2_2,bumblebee yellow,arteza,tube gouache,,
IMG_20220912_0032_0_0,357,handmade,pan watercolor,,
IMG_20220912_0032_0_1,brun de noyer,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0032_0_2,colosseum,diamine,ink,wonders of the world,https://www.cultpens.com/i/q/CU97240/cult-pens-wonders-of-the-world-ink-by-diamine-30ml
IMG_20220912_0032_1_0,choc pudding,Robert Oster,ink,holiday season,https://www.cultpens.com/i/q/RB77061/robert-oster-holiday-season-limited-edition-ink
IMG_20220912_0032_1_1,walnut ink,daniel smith,ink,,
IMG_20220912_0032_1_2,golden sand,diamine,ink,,
IMG_20220912_0032_2_0,gra 0,handmade,pan watercolor,,
IMG_20220912_0032_2_1,smoked quartz,spectrum noir,ink,discontinued,
IMG_20220912_0032_2_2,toffee a301,arteza,tube gouache,,
IMG_20220912_0033_0_0,604,handmade,pan watercolor,,
IMG_20220912_0033_0_1,naples yellow,daniel smith,tube watercolor,,
IMG_20220912_0033_0_2,honey burst,diamine,ink,,
IMG_20220912_0033_1_0,361,handmade,pan watercolor,,
IMG_20220912_0033_1_1,mars yellow,daniel smith,tube watercolor,,
IMG_20220912_0033_1_2,r0,handmade,pan watercolor,,
